1/eta,Cash,Liquid 1,Liquid 2,Illiquid 1,Allocation Benefit,cec,xi_sim_2.5%,xi_sim_50%,xi_sim_97.5%,c_sim_2.5%,c_sim_50%,c_sim_97.5%,c
0.5,38.079146267872176,29.34959332810664,16.475712630134247,16.095547773886945,1.9483300525405145,3.4628661341784475,14.12121471721436,16.095547773886945,19.374548177904234,3.943622547872095,4.036317217423275,4.200229243606032,0.06766430010760721
1.0,38.15214752544376,29.34437057713552,16.804132222583306,15.699349674837421,1.928808477762356,3.4622030472975704,12.953933185886324,15.699349674837421,21.435362632755034,3.890040182367313,4.01665676456213,4.308974932082197,0.06653480384387052
2.0,38.291935260456235,29.34056044641512,17.411026054009085,14.95647823911956,1.8824851509435137,3.460629588668275,11.652510504441436,15.124003149028367,26.12874439951986,3.8314400636687904,3.987902331094021,4.576053304190888,0.06446167846364523
5.0,38.89130207506678,29.325244034183033,19.897510919264445,11.885942971485743,1.6455061160584261,3.4525801515270196,9.177588178973888,13.18510714511091,34.563353344729585,3.719899007591347,3.890864485688865,5.040742316746197,0.05649499874189648
10.0,39.87825878097679,29.323733074969304,23.914066173068406,6.883941970985494,1.0103524846801548,3.4310059678305658,4.846751144698197,8.879818971728318,45.664974644158534,3.531703978989637,3.6855985670274385,4.944837314011604,0.04536360233422421
15.0,40.37910100476137,29.32957325556238,25.933146650131484,4.358179089544772,0.5425697933335139,3.4151168518520665,3.111968927204206,6.406927376097338,43.03098427306463,3.4551617720630396,3.5724824217694096,4.455461968027169,0.040508140467160454
20.0,40.65032803848337,29.327461048541387,27.00120040772261,3.0210105052526264,0.22870533533050352,3.404455857191528,2.1095924423646775,4.8297810827699434,42.80681876788904,3.410735668649206,3.503610071573711,4.2098307082052395,0.03811669583102771
25.0,40.80823813072876,29.32515059795357,27.687521726545288,2.179089544772386,0.007222346526303269,3.3969327723030225,1.6291508954867098,3.9542055947388084,67.06522548492711,3.3880838602264873,3.464669563894296,4.233539247716915,0.036674618520436325
30.0,40.93023320141418,29.32088393918465,28.164090463203074,1.5847923961980992,-0.147926967430001,3.3916628350243694,1.1779661009846583,3.4453642318070465,69.27810557973804,3.3682916748197176,3.4406775811423094,4.134101157988582,0.035686486161733706
,40.74356487722319,29.628217561388404,29.628217561388404,,,3.3966874517648407,,,,,,,0.03327105187821046
,37.451540703735596,29.628217561388404,16.460120867438004,16.460120867438004,,0.03475820217029336,,,,,,,0.03327105187821046
